image_num,golden_label,predicted_label,energy,output0,output1,output2,output3,output4,output5,output6,output7,output8,output9
0,7,7,1.6977635372686205e-10,0.3238,0.0044741,0.054219,0.18889,0.0049443,0.0029589,0.0011568,0.79868,0.7575,0.25641
1,2,2,1.5083652436626958e-10,0.47215,0.39022,0.79753,0.26691,0.0047933,0.0012837,0.38646,0.0021066,0.10845,0.0060571
2,1,1,1.5377306955582467e-10,0.014638,0.79849,0.021679,0.023961,0.018646,0.0030773,0.71963,0.01272,0.31406,0.046301
3,0,0,1.542692200723976e-10,0.79877,0.039664,0.0074866,0.014211,0.099651,0.024536,0.57044,0.014994,0.041689,0.036541
4,4,4,1.5780995672713288e-10,0.016167,0.0073505,0.15028,0.011997,0.79867,0.0011042,0.036965,0.051361,0.037684,0.094365
5,1,1,1.6068569219297507e-10,0.022177,0.79857,0.021623,0.016585,0.19809,0.003706,0.72944,0.019047,0.15472,0.037674
6,4,4,1.4475186445975273e-10,0.0010718,0.024984,0.023614,0.001193,0.78147,0.014813,0.0074466,0.0027067,0.7504,0.12129
7,9,9,1.5461963787717794e-10,0.45479,0.0031474,0.66136,0.022155,0.17065,0.0040594,0.014531,0.043477,0.33444,0.79878
8,5,5,1.5025420293730566e-10,0.21931,0.0011099,0.0063707,0.036605,0.33227,0.79879,0.73968,0.0058704,0.75606,0.031863
9,9,9,1.347243611209943e-10,0.43943,0.007426,0.038257,0.019608,0.16029,0.032339,0.0022896,0.035535,0.55262,0.79846
10,0,0,1.741727971503408e-10,0.79876,0.042047,0.1667,0.008496,0.0074546,0.0059949,0.30169,0.0095758,0.1154,0.19027
11,6,6,1.4217677391421815e-10,0.16595,0.16958,0.29771,0.0024695,0.32022,0.097099,0.79869,0.00151,0.44032,0.022988
12,9,9,1.5374702196801227e-10,0.27779,0.0042087,0.010254,0.030054,0.44982,0.0048208,0.0049627,0.016945,0.4358,0.79877
13,0,0,1.579403721284825e-10,0.79879,0.15495,0.0088733,0.01666,0.016758,0.02612,0.72277,0.01714,0.16426,0.047204
14,1,1,1.6078440211858038e-10,0.020089,0.79847,0.13592,0.070123,0.0087122,0.0013382,0.53061,0.0042039,0.1355,0.037143
15,5,5,1.489388587187712e-10,0.19685,0.001077,0.010466,0.23183,0.0024775,0.79861,0.039285,0.19723,0.77407,0.0039555
16,9,9,1.5352990335931952e-10,0.38401,0.0046736,0.059935,0.032398,0.4739,0.010308,0.016488,0.0073563,0.16114,0.79851
17,7,7,1.4854632454020704e-10,0.30909,0.0058253,0.13869,0.36252,0.0014892,0.015786,0.001066,0.79865,0.29157,0.2831
18,3,3,1.490273130633683e-10,0.033611,0.0032621,0.74034,0.79674,0.0063997,0.0011059,0.029344,0.14319,0.62644,0.015122
19,4,4,1.5516643742129684e-10,0.024524,0.012962,0.40861,0.027018,0.7986,0.0015152,0.093765,0.057174,0.017904,0.061227
20,9,9,1.6961105869494524e-10,0.19084,0.016796,0.027628,0.06187,0.43689,0.004468,0.0020659,0.017672,0.35229,0.79758
21,6,6,1.5353037124550395e-10,0.2067,0.15676,0.17392,0.0029319,0.22202,0.46436,0.79878,0.0011094,0.31836,0.0082434
22,6,6,1.4270138352050507e-10,0.47188,0.059889,0.17576,0.01591,0.40668,0.33218,0.79876,0.0050933,0.26339,0.021705
23,5,5,1.4044718237435763e-10,0.40869,0.0011435,0.0019138,0.13192,0.028696,0.79876,0.57209,0.016191,0.74282,0.0085308
24,4,4,1.5053619140839438e-10,0.0084469,0.0019212,0.5293,0.014244,0.79874,0.0011218,0.24978,0.4704,0.010784,0.12407
25,0,0,1.5022501215641967e-10,0.79852,0.065383,0.050108,0.005998,0.0060949,0.0012353,0.739,0.019545,0.13596,0.094851
26,7,7,1.5592037950386927e-10,0.6622,0.2075,0.028945,0.33769,0.0047558,0.012781,0.001127,0.79878,0.0143,0.39949
27,4,4,1.524237729087458e-10,0.009268,0.012476,0.19084,0.02143,0.79867,0.0012023,0.13283,0.07574,0.018816,0.060707
28,0,0,1.6135875746463373e-10,0.79879,0.036353,0.47028,0.19089,0.02582,0.0023194,0.33391,0.023212,0.074952,0.054551
29,1,1,1.6158771769496125e-10,0.054135,0.79857,0.03554,0.36291,0.0099404,0.0023324,0.27086,0.0013855,0.47023,0.048696
30,3,3,1.6461347102005262e-10,0.15085,0.010356,0.10379,0.79868,0.034202,0.006255,0.0076508,0.079034,0.36582,0.16507
31,1,1,1.614516237070228e-10,0.0040086,0.79844,0.048166,0.12037,0.047955,0.014624,0.11679,0.0093796,0.0105,0.19288
32,3,3,1.4744218807869487e-10,0.27981,0.013861,0.11098,0.79866,0.027911,0.0041301,0.022988,0.038825,0.75239,0.012511
33,4,4,1.5626908279480685e-10,0.44911,0.01832,0.41219,0.001078,0.7978,0.0021478,0.73304,0.022222,0.15293,0.0038194
34,7,7,1.5297924909063793e-10,0.02826,0.17764,0.7447,0.034784,0.0026974,0.0012131,0.001066,0.79872,0.23761,0.42065
35,2,2,1.3821106476767104e-10,0.35114,0.018779,0.79869,0.040018,0.0067518,0.0010674,0.18954,0.0093942,0.36717,0.015591
36,7,7,1.4319532534399383e-10,0.065172,0.039947,0.61914,0.042325,0.0026342,0.0012274,0.0030608,0.79875,0.29994,0.038767
37,1,1,1.624964849335922e-10,0.057087,0.79847,0.0618,0.049648,0.039514,0.011825,0.3648,0.0074272,0.23363,0.048829
38,2,2,1.5445631639240476e-10,0.27191,0.32573,0.78234,0.36395,0.0016495,0.0011739,0.3181,0.19841,0.31072,0.01722
39,1,1,1.533692340996657e-10,0.017452,0.79846,0.0098663,0.13888,0.011953,0.0017487,0.76973,0.0033764,0.32611,0.08274
40,1,1,1.8159025431153852e-10,0.23852,0.79835,0.072205,0.2091,0.041345,0.002414,0.45035,0.19266,0.012809,0.19441
