image_num,golden_label,predicted_label,energy,output0,output1,output2,output3,output4,output5,output6,output7,output8,output9
0,7,7,1.5307981383851753e-10,0.32393,0.0044768,0.054209,0.18904,0.0049435,0.0029589,0.0011568,0.79868,0.75749,0.25653
1,2,2,1.5082524972056324e-10,0.47212,0.39011,0.79753,0.2669,0.0047931,0.0012837,0.38632,0.0021058,0.10865,0.0060575
2,1,1,1.5377802029638127e-10,0.014639,0.79849,0.021694,0.023961,0.018642,0.0030765,0.71963,0.012719,0.31401,0.046303
3,0,0,1.5429765269802043e-10,0.79877,0.039682,0.0074881,0.014209,0.099639,0.024542,0.57046,0.014995,0.04169,0.036536
4,4,4,1.5654927970339947e-10,0.016172,0.0073497,0.15023,0.011995,0.79867,0.0011042,0.036956,0.051347,0.037684,0.09436
5,1,1,1.6063317002742895e-10,0.022177,0.79857,0.021628,0.016583,0.19816,0.0037052,0.72944,0.019047,0.15469,0.037669
6,4,4,1.4511529720104718e-10,0.0010718,0.025,0.023619,0.0011931,0.78146,0.014811,0.0074497,0.0027079,0.75039,0.12132
7,9,9,1.551633848761723e-10,0.45468,0.0031474,0.6613,0.022151,0.17072,0.0040585,0.01453,0.043469,0.3345,0.79878
8,5,5,1.502491782823173e-10,0.21922,0.0011099,0.0063743,0.036615,0.33231,0.79879,0.73968,0.0058732,0.75605,0.031867
9,9,9,1.3472686105357732e-10,0.43975,0.0074095,0.038136,0.019672,0.16037,0.03241,0.0022877,0.035591,0.55237,0.79846
10,0,0,1.593557291743461e-10,0.79876,0.042051,0.1669,0.008492,0.0074509,0.0059915,0.30183,0.0095704,0.11544,0.19039
11,6,6,1.421786345214282e-10,0.16606,0.16956,0.29769,0.0024697,0.32017,0.097071,0.79869,0.0015099,0.44029,0.022987
12,9,9,1.5378453991651767e-10,0.27772,0.004209,0.010254,0.030065,0.44979,0.004821,0.004966,0.016946,0.43582,0.79877
13,0,0,1.5791904709114208e-10,0.79879,0.15498,0.0088748,0.01666,0.016756,0.026119,0.72278,0.017141,0.1643,0.047192
14,1,1,1.6078137081966383e-10,0.020102,0.79847,0.13585,0.070129,0.008709,0.0013382,0.53061,0.0042045,0.13556,0.037154
15,5,5,1.478218730709626e-10,0.1968,0.0010769,0.010469,0.23178,0.0024773,0.79861,0.039281,0.19716,0.77408,0.0039546
16,9,9,1.5452266249663818e-10,0.38396,0.0046736,0.059934,0.032404,0.4738,0.010309,0.016492,0.0073566,0.16123,0.79851
17,7,7,1.493293462823997e-10,0.30913,0.0058278,0.13873,0.36243,0.0014895,0.015783,0.001066,0.79865,0.29154,0.28315
18,3,3,1.4899523141075576e-10,0.033612,0.0032619,0.74033,0.79674,0.0063958,0.0011059,0.029339,0.14327,0.62643,0.015116
19,4,4,1.5519902766081032e-10,0.024479,0.012976,0.40821,0.027083,0.7986,0.0015175,0.093737,0.057169,0.017905,0.060999
20,9,9,1.5478848657024855e-10,0.19091,0.016799,0.027619,0.061883,0.43704,0.0044654,0.0020662,0.01767,0.3523,0.79758
21,6,6,1.5352610297296212e-10,0.20673,0.15673,0.17388,0.0029324,0.22205,0.46424,0.79878,0.0011093,0.31837,0.0082443
22,6,6,1.426668279775071e-10,0.47185,0.059932,0.17581,0.015907,0.40672,0.33219,0.79876,0.0050899,0.2634,0.021702
23,5,5,1.4046173519346795e-10,0.4087,0.0011435,0.0019137,0.1319,0.028698,0.79876,0.57225,0.016189,0.74283,0.0085324
24,4,4,1.5054112034617318e-10,0.0084473,0.0019209,0.52924,0.014244,0.79874,0.0011218,0.24983,0.47034,0.010787,0.12409
25,0,0,1.5019485334163208e-10,0.79852,0.065345,0.050108,0.0060004,0.0061,0.001235,0.73902,0.019549,0.13599,0.094856
26,7,7,1.557492785963503e-10,0.66215,0.20743,0.028944,0.33761,0.0047577,0.012779,0.0011269,0.79878,0.014299,0.39955
27,4,4,1.5342923342787458e-10,0.0092685,0.012479,0.19082,0.02143,0.79867,0.0012023,0.13283,0.075863,0.018813,0.06073
28,0,0,1.6135861510545688e-10,0.79879,0.036354,0.47023,0.19086,0.025821,0.0023195,0.33388,0.023212,0.074947,0.054552
29,1,1,1.6158843335912708e-10,0.054428,0.79857,0.035456,0.36224,0.0099846,0.0023248,0.27134,0.0013874,0.46876,0.048724
30,3,3,1.484253745177124e-10,0.15092,0.010353,0.10387,0.79868,0.034202,0.0062557,0.0076499,0.079006,0.36584,0.16516
31,1,1,1.6142721407579046e-10,0.0040081,0.79844,0.048157,0.12042,0.047966,0.014626,0.11673,0.0093835,0.010501,0.19284
32,3,3,1.4744585309523177e-10,0.27983,0.013863,0.111,0.79866,0.027907,0.0041296,0.022989,0.03883,0.75238,0.01251
33,4,4,1.562638267109457e-10,0.44915,0.018315,0.41208,0.0010779,0.7978,0.0021487,0.73305,0.022218,0.15307,0.0038186
34,7,7,1.5298352221014674e-10,0.028257,0.17761,0.74471,0.034771,0.0026976,0.001213,0.001066,0.79872,0.23763,0.42063
35,2,2,1.382198465472164e-10,0.35099,0.018777,0.79869,0.040019,0.0067532,0.0010674,0.18937,0.0093694,0.36706,0.015589
36,7,7,1.4318673289158784e-10,0.065201,0.039937,0.6192,0.042315,0.0026359,0.0012274,0.003062,0.79875,0.29987,0.038759
37,1,1,1.624861849117723e-10,0.057086,0.79847,0.061763,0.049644,0.039511,0.011824,0.36477,0.0074283,0.23365,0.048826
38,2,2,1.5442144350799437e-10,0.2719,0.32571,0.78235,0.36403,0.0016493,0.0011739,0.31812,0.19844,0.3107,0.01722
39,1,1,1.5341290068549782e-10,0.017458,0.79846,0.0098686,0.13898,0.011957,0.001749,0.76973,0.0033755,0.32609,0.082765
40,1,1,1.6621931095812555e-10,0.23856,0.79836,0.072213,0.20914,0.041344,0.0024131,0.45044,0.1927,0.012806,0.19448
41,7,7,1.4899963819737797e-10,0.18908,0.26474,0.74458,0.022827,0.01138,0.0012782,0.0012647,0.79879,0.020871,0.21523
42,4,4,1.6212047186570396e-10,0.003897,0.013568,0.18478,0.0056333,0.79869,0.0013527,0.059838,0.031444,0.049224,0.041924
43,2,2,1.418786494450064e-10,0.020489,0.031534,0.79634,0.22992,0.39598,0.0011296,0.089133,0.24768,0.045011,0.0072412
44,3,3,1.5375052272309724e-10,0.041058,0.051867,0.069452,0.79858,0.21429,0.015149,0.046142,0.24087,0.45623,0.036479
45,5,5,1.52046445094087e-10,0.21925,0.0010708,0.0028446,0.41941,0.0073849,0.79871,0.12889,0.029311,0.75845,0.040545
