image_num,golden_label,predicted_label,energy,output0,output1,output2,output3,output4,output5,output6,output7,output8,output9
0,7,7,1.1388337393844693e-10,0.3457184194791649,0.006798268716830801,0.08662315936960693,0.21672775014460802,0.0059236723570874755,0.0041874408832488575,0.00011249326803640172,0.7999132425274582,0.7515576823861378,0.2760826979970481
1,2,2,1.1558390095177352e-10,0.5234379887110326,0.4347601026297116,0.7962797092728946,0.3023470343457503,0.006128937203396845,2.479755375085761e-05,0.4456914790579042,0.002950265243316153,0.13916147632363143,0.007577096797135186
2,1,1,1.2146500505095368e-10,0.016618842935126887,0.7999906782781971,0.02660475170184433,0.031874423922597914,0.020756544006931808,0.004023452330176059,0.7183828256123891,0.014658155841096308,0.33090843077871235,0.07042960889050752
3,0,0,1.2241619846572276e-10,0.7997328197095905,0.06177820969292101,0.00970528931783614,0.015040589453422376,0.12692657020245646,0.029639296098614053,0.6252193924796496,0.016912821929593026,0.059243746412024643,0.055760824639532316
4,4,4,1.2607522558329364e-10,0.018886025798818915,0.00860472404248596,0.16429192244889204,0.013640848052044434,0.7999272367479338,0.0009165324602722577,0.056632053412284424,0.08832771500434632,0.053610571900563064,0.1236486096011909
5,1,1,1.2644789400520033e-10,0.026319219715363582,0.7999761274284626,0.028541541575506705,0.021403907869192197,0.21474296900560086,0.004841186619330448,0.725311081747569,0.022104592180067786,0.17157576558781912,0.05546000711397097
6,4,4,1.1525679276698135e-10,0.0007323709322738379,0.03052161036388841,0.03122215501898246,0.0013082556297598588,0.7832060698381472,0.016296222206940575,0.009072829615221227,0.0037085130770121585,0.7428511223725689,0.1400678590864511
7,9,9,1.2513494475922938e-10,0.4896188228543068,0.004283253892134735,0.6753021132441647,0.026244984548997274,0.18852386841999574,0.005372591263457297,0.015425364580674535,0.06230329256720397,0.35162540775622336,0.7992846171327805
8,5,5,1.1366488786397775e-10,0.2191214271757334,0.0009614239857787665,0.008090621923054906,0.0507410169106093,0.3198216885310107,0.7994179851148442,0.7311235159690302,0.007177601220351651,0.7523895753668872,0.04106988383857788
9,9,9,1.1041036926256345e-10,0.4840447783915838,0.008834390471183003,0.06105712591311517,0.021666641375218804,0.17949468121577566,0.041228015634934397,0.0033673284449152866,0.049423247670102345,0.5894124791513032,0.7982514585927394
10,0,0,1.250914954367602e-10,0.7997836136457219,0.06603903981140737,0.19377836441413898,0.009820524223459012,0.008761085937183508,0.007059454936933024,0.3167681769624625,0.010874067416376514,0.13634333708388138,0.20274123503226946
11,6,6,1.1742253259682553e-10,0.18883583007263013,0.17235438024142707,0.3080673100249237,0.003248698927766922,0.32933234195376637,0.13856017547142258,0.7999046607268999,0.0023123139888862913,0.4847228708142592,0.02792906844123236
12,9,9,1.1851632528904595e-10,0.29519501139548715,0.0053372514407925755,0.01220019341165871,0.03892618574482798,0.4952547509518363,0.005557303221489676,0.005917867106004468,0.019282509782018273,0.46436022278544953,0.799158329704138
13,0,0,1.2569554406461821e-10,0.7995018017128211,0.1578894728791982,0.010336169275387216,0.017352406883234816,0.019395228218472213,0.03388552083647897,0.7130762763727008,0.01914578838098722,0.1763455673910555,0.07700799613954529
14,1,1,1.282011512952513e-10,0.020196636680779468,0.7999931379898123,0.16674263544712323,0.1073735820284124,0.010865540709846258,0.0016798486652385971,0.5836184901409317,0.005325425902533895,0.14111862058129745,0.05401184236587715
15,5,5,1.1113163277063887e-10,0.19930425226339005,0.0007656306016479732,0.012954577017871548,0.25321450535865125,0.003572847388836237,0.7986015155809308,0.05696975698476693,0.2066793744532907,0.7745506930615572,0.005461793813986604
16,9,9,1.2056642270433617e-10,0.4082758788292172,0.005906105868992869,0.09395881695071963,0.04029782554357439,0.5236833053107018,0.010309922708626868,0.020291421935829584,0.008983341587217563,0.17152373355374298,0.7983074300168884
17,7,7,1.1143602707670024e-10,0.3277812570527838,0.0069264936019526515,0.16271463590474525,0.38240322482401523,0.0020258193618093727,0.017293514838623493,0.0005579973797386304,0.7999381582500766,0.301539975220144,0.298541986655313
