image_num,golden_label,predicted_label,energy,output0,output1,output2,output3,output4,output5,output6,output7,output8,output9,latency0,latency1,latency2,latency3,latency4,latency5,latency6,latency7,latency8,latency9
0,9,9,1.2588e-10,0.338,0.18605,0.17012,0.33918,0.39661,0.20575,0.14391,0.19518,0.27994,0.5028,1.60559e-10,2.63666e-10,1.60559e-10,1.60559e-10,2.63666e-10,2.63666e-10,1.60559e-10,2.63666e-10,6.09612e-11,2.63666e-10
1,0,0,1.2625e-10,0.56837,0.20922,0.24008,0.17535,0.25138,0.21904,0.4292,0.16517,0.28124,0.26596,2.0345999999999963e-10,2.918399999999997e-10,2.430000000000001e-10,2.0345999999999963e-10,2.430000000000001e-10,2.0345999999999963e-10,2.430000000000001e-10,2.0345999999999963e-10,1.1931999999999954e-10,2.430000000000001e-10
2,2,2,1.2474e-10,0.32599,0.31143,0.53496,0.35377,0.12032,0.062424,0.24067,0.19362,0.4742,0.24965,2.433099999999988e-10,2.0606999999999948e-10,2.0606999999999948e-10,2.0606999999999948e-10,2.0606999999999948e-10,2.0606999999999948e-10,2.0606999999999948e-10,3.4124999999999983e-10,2.0606999999999948e-10,2.0606999999999948e-10
3,5,3,1.2919e-10,0.26587,0.090267,0.19273,0.48301,0.21006,0.46011,0.20827,0.14637,0.47481,0.23421,2.0619999999999956e-10,2.0619999999999956e-10,2.0619999999999956e-10,1.736999999999991e-10,2.8600000000000005e-10,2.0619999999999956e-10,1.736999999999991e-10,1.736999999999991e-10,3.3630000000000017e-10,1.736999999999991e-10
4,1,1,1.2853e-10,0.25808,0.59392,0.22325,0.30408,0.27812,0.14855,0.2602,0.13753,0.30018,0.30779,2.805999999999992e-10,2.805999999999992e-10,2.805999999999992e-10,2.805999999999992e-10,2.805999999999992e-10,2.3359999999999886e-10,2.3359999999999886e-10,1.389e-10,2.805999999999992e-10,2.3359999999999886e-10
5,9,9,1.2881e-10,0.32885,0.18191,0.22885,0.32611,0.31648,0.13959,0.10225,0.28757,0.31158,0.57167,1.8569999999999947e-10,1.8569999999999947e-10,2.2259999999999962e-10,1.8569999999999947e-10,1.8569999999999947e-10,3.0350000000000004e-10,1.8569999999999947e-10,1.8569999999999947e-10,1.8569999999999947e-10,1.8569999999999947e-10
6,7,7,1.2831e-10,0.34679,0.23345,0.21511,0.27237,0.1643,0.17927,0.066097,0.52432,0.3228,0.42044,2.3140000000000232e-10,2.881999999999999e-10,2.3140000000000232e-10,2.3140000000000232e-10,2.3140000000000232e-10,2.3140000000000232e-10,1.5690000000000056e-10,2.3140000000000232e-10,1.5690000000000056e-10,2.3140000000000232e-10
7,8,8,1.2787e-10,0.2292,0.24679,0.24285,0.3293,0.19052,0.22947,0.17588,0.093147,0.601,0.33862,2.1799999999999904e-10,2.1799999999999904e-10,2.1799999999999904e-10,2.1799999999999904e-10,2.1799999999999904e-10,2.1799999999999904e-10,2.1799999999999904e-10,2.1799999999999904e-10,2.1799999999999904e-10,2.1799999999999904e-10
8,1,1,1.3007e-10,0.24534,0.6878,0.21163,0.26219,0.23154,0.24529,0.30568,0.14564,0.29499,0.22678,1.9900000000000066e-10,2.4389999999999995e-10,2.4389999999999995e-10,2.4389999999999995e-10,2.4389999999999995e-10,2.4389999999999995e-10,2.4389999999999995e-10,2.4389999999999995e-10,2.4389999999999995e-10,2.4389999999999995e-10
9,0,0,1.2512e-10,0.54292,0.21434,0.24108,0.17835,0.17099,0.37159,0.35639,0.10437,0.33727,0.28955,1.8920000000000013e-10,1.8920000000000013e-10,2.9030000000000095e-10,2.48899999999999e-10,1.5869999999999864e-10,1.8920000000000013e-10,1.5869999999999864e-10,1.5869999999999864e-10,1.5869999999999864e-10,1.8920000000000013e-10
